Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Djibouti,0.0225,9.6191,0.0225,0,29.5547,0.2399,0.8097,0.3674,4.3035,3.4863,0.7647,0.2549,6.2828,0.2699,0.5248,0.1949,0,0,0.105,40.3809,0.0075,2.4142,0.3749,12.2,18.9,0.601315789,0.006376518,0.592307692,0.002631579,988000,%
Dominica,0.038,27.2601,0.0634,0,11.2385,0.4245,5.4165,2.9142,12.2648,8.3434,0.7475,0.7095,1.7738,0.4371,3.2626,0.6018,0,0,0.0063,22.7431,0.0127,1.4634,0.2787,28.2,6.2,0.168055556,0,0.152777778,0.015277778,72000,%
Dominican Republic,0.4784,25.6914,0.0224,0,13.1111,2.0631,2.0182,3.5207,12.9167,7.1386,1.5324,0.7774,3.7823,0.0747,0.8073,0.4111,0,0,0.0374,24.3086,0,0.9643,0.3438,26.9,9.5,2.115695238,0.02667619,1.577704762,0.511314286,10500000,%
Ecuador,0,22.7577,0.0988,0.0076,22.6665,1.6038,1.6494,1.1022,11.09,7.3579,0.9425,0.6385,0.8893,0.0532,0.8665,0.0532,0,0,0.0304,27.2423,0.0152,0.7753,0.1596,19.3,7.9,1.468305636,0.085683285,1.198183999,0.184438353,17511000,%
Egypt,0.0052,12.4994,0.0467,0,30.3504,0.5243,3.4934,1.0849,5.1077,2.0919,1.2302,0.5969,1.6818,0.2128,0.6696,0.2024,0.1298,0,0.0467,37.5032,0.0052,2.4916,0.026,31.1,4.5,0.167758896,0.009527494,0.131002054,0.027229348,100803000,%
El Salvador,0.1203,17.3405,0.0468,0,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0,0,0.0334,32.6495,0.0267,1.5035,0.3074,22.7,9,0.867721031,0.025813918,0.77813609,0.063771023,6481000,%
Estonia,0.5907,28.6013,0.2233,0,15.0751,1.7071,1.735,0.5023,8.8097,15.424,0.7024,0.1861,0.8559,0.1674,1.3582,0.7535,0,0.0047,0.3582,21.401,0.0233,1.4745,0.0465,23.8,2.9,3.569646882,0.034259955,2.828549962,0.706836965,1331000,%
Eswatini,0.6034,14.768,0.0489,0,27.0081,0.4077,0.9296,0.7421,8.8396,3.4086,1.1253,1.3129,1.8511,0.4322,1.9979,0.1468,0,0,0.1794,35.2361,0,0.7747,0.1876,13.5,20.6,1.46567029,0.054710145,1.038858696,0.372101449,1104000,%
Ethiopia,0.1676,4.4561,0.0076,0,29.7303,0.099,0.1066,0.1143,1.6834,2.1938,0.3656,0.8074,10.748,0.7693,2.3461,0.3047,0,0,0.0838,45.5515,0,0.457,0.0076,3.6,20.6,0.12309252,0.001866581,0.109237182,0.011988757,114916000,%
Fiji,0.2232,21.1078,0.2435,0,16.8335,0.8386,6.3303,0.3043,10.1515,2.7323,0.8116,1.8734,4.6936,0.1826,2.7797,0.3382,0,0,0.0609,28.8922,0.0203,1.5014,0.0812,30,3.7,0.00625,0.000223214,0.005915179,0.000111607,896000,%
Finland,0.4797,31.2205,0.2505,0,13.0758,1.1632,3.8251,0.5434,11.1059,14.3706,0.501,0.3524,0.3099,0.0425,1.1123,1.0826,0,0.0042,0.1826,18.7816,0.0594,1.1038,0.433,24.9,<2.5,0.854801953,0.01244348,0.560680051,0.281678423,5529000,%
France,0.1784,31.0849,0.2677,0,13.4993,1.6015,3.9079,0.6513,12.8703,11.1617,1.2714,0.4104,0.513,0.0401,0.977,0.7361,0,0.0045,0.3569,18.9195,0.0134,1.4811,0.0535,23.2,<2.5,5.199054512,0.121558362,0.367876501,4.709619649,64940000,%
French Polynesia,0.3778,32.9981,0.2042,0.0153,10.705,1.1741,7.0448,0.3931,18.8677,4.768,0.9189,1.0618,0.6636,0.0255,0.9036,0.3471,0.0255,0,0.1174,17.0044,0.0153,1.2558,1.1129,NA,4.2,NA,NA,NA,NA,280000,%
Gabon,0.6967,24.3394,0.0188,0,15.1258,0.1695,5.2846,1.6507,14.6928,1.7071,2.4666,3.3264,0.069,0,3.3202,0.1004,0.0063,0,0.0126,25.6637,0.0126,0.9352,0.4017,13.4,10.5,0.513536531,0.003182429,0.483953384,0.026400717,2231000,%
Gambia,0.2116,13.0026,0.0078,0,26.687,0.3213,6.7403,0.0705,2.3513,3.3702,0.2116,8.0649,0.4232,0.0078,0.1332,0.4232,0,0,0.1019,37.0013,0.0157,0.6427,0.2116,8.7,10.2,0.175299959,0.005544063,0.160777824,0.008978072,2417000,%
Georgia,0.1495,18.4294,0.169,0,27.2574,1.1636,1.4822,0.3835,6.7867,8.2299,0.5981,0.299,0.013,0.0715,1.2936,0.6436,0,0.0065,0.2665,31.5673,0.026,0.8906,0.273,23.3,7.9,7.042261104,0.087994616,6.805248991,0.149017497,3715000,%
Germany,0.6525,30.2658,0.3023,0,12.9162,1.7081,2.0631,0.6237,13.7703,12.0526,0.3646,0.7821,0.2351,0.12,1.3051,0.6669,0,0.0048,0.7005,19.7342,0.0288,1.7033,0,25.7,<2.5,2.74310084,0.073890756,2.451366146,0.217843938,83300000,%
Ghana,0.1509,12.1922,0.0079,0,16.2272,0.2701,6.6164,2.5417,4.1064,0.5878,0.5957,2.5576,3.2089,1.2073,10.8181,0.0159,0.0318,0,0.1191,37.8157,0.0159,0.8419,0.0715,9.7,5.5,0.225424002,0.001444984,0.204363917,0.0196151,31073000,%
Greece,0.2376,26.9807,0.0998,0,14.543,1.2737,2.6995,0.9981,10.9548,11.0689,0.884,0.6036,1.3593,0.0665,1.1121,0.6273,0,0.0095,0.8887,23.0217,0.0285,2.3193,0.2234,27.4,<2.5,1.52535514,0.055616822,0.876299065,0.593439252,10700000,%
Grenada,0.1204,30.3273,0.0567,0,12.2414,1.8631,5.9719,1.4452,15.3939,6.5812,0.4605,0.5809,2.6991,0.5667,0.6801,0.1204,0,0,0.0425,19.6727,0.0283,0.7793,0.3684,20.2,NA,0.130973451,0.000884956,0.12920354,0.000884956,113000,%
Guatemala,0.0787,15.405,0.0358,0,23.6119,2.6188,0.5581,0.6583,8.7221,2.9408,0.5366,1.431,6.597,0.0859,0.2504,0.4865,0,0,0.1002,34.595,0.0143,1.1806,0.093,18.8,15.2,0.901898594,0.03240341,0.824294254,0.04520093,18066000,%
Guinea,0.0404,9.2262,0.0162,0,26.1017,0.4286,2.442,1.3019,4.1077,1.4797,0.7601,3.5417,2.159,0,3.0403,0.2183,0,0,0,40.7779,0.0081,4.2371,0.1132,6.6,16.5,0.116759554,0.00066879,0.114012739,0.002078025,12560000,%
Guinea-Bissau,0.1925,10.5663,0.034,0,30.7701,0.2718,0.4077,0.9966,6.761,2.1857,0.906,1.2684,1.3364,0,1.88,0.0793,0,0,1.8913,39.4337,0.0113,0.7928,0.2152,8.2,28,0.143850545,0.00238713,0.125947068,0.015516347,1927000,%
Guyana,0.1537,22.1489,0.0114,0,15.7922,0.2902,4.6153,0.8821,8.5306,8.5249,0.1821,2.0885,2.3902,0.6203,0.7341,0.2959,0,0,0.1821,27.8511,0.0285,4.456,0.2219,19.2,8.1,1.008767471,0.022871665,0.884625159,0.101270648,787000,%
Haiti,0,9.993,0.03,0,22.5894,0.1302,1.3217,1.2616,6.138,1.6922,0.6809,1.3117,10.3835,0,2.6434,0.8511,0,0.01,0,40.012,0.01,0.801,0.1402,20.5,49.3,0.103113216,0.002148557,0.080294659,0.020669999,11403000,%
Honduras,0.1091,17.3784,0.0156,0,23.5193,0.9196,0.6546,0.7481,9.11,6.1253,0.5533,0.2182,6.1877,0.0312,0.1948,0.6858,0,0,0.039,32.6216,0.0156,0.6858,0.187,19.4,12.9,1.560269667,0.037611517,0.626368613,0.896289538,9864000,%
Hungary,0.5289,28.3269,0.5687,0,15.6506,2.4056,1.035,0.4208,14.4791,9.8157,0.0171,0.2616,1.0009,0.1877,1.1601,0.4777,0,0,0.0284,21.6731,0.1081,1.8369,0.0171,28.6,<2.5,3.840739224,0.133367462,2.845797072,0.86157469,9767000,%
Iceland,0.3794,35.786,0.3298,0,9.3826,1.2163,9.3968,0.6383,11.7124,12.5102,0.617,0.5142,0.1596,0.1312,0.5674,0.9184,0,0.0035,0.1773,14.2158,0.0035,0.9787,0.3617,23.1,<2.5,1.636141304,0.007880435,1.619293478,0.008967391,368000,%
India,0.0077,11.2582,0.0306,0,25.2794,0.7271,1.5537,0.6659,1.0179,7.8142,0.1225,1.1174,7.2096,0.8189,0.8955,0.176,0,0.0459,0.1837,38.7418,0,2.3343,0,3.8,14.5,0.77325641,0.011070352,0.751560674,0.010625384,1400100000,%
Indonesia,0.0073,16.164,0.0219,0,27.3237,1.2821,10.1617,0.743,2.921,1.0854,0.692,2.3529,0.4953,0.3351,0.7503,0.4006,0,0.0219,0.102,33.836,0,1.2966,0.0073,6.9,8.3,0.422099883,0.01155263,0.345619878,0.064927375,271739000,%
Iran (Islamic Republic of),0,14.4317,0.2626,0,26.42,1.2388,1.9124,1.2274,7.6383,2.8201,0.5537,0.1313,2.4034,0.177,0.9248,0.3311,0,0.0057,1.3701,35.5712,0.0057,2.5746,0,25.5,4.9,1.734248366,0.069414141,1.482322044,0.182512181,84150000,%
Iraq,0.0083,11.1909,0.033,0,33.7215,2.2877,0.7433,0.7763,5.7648,2.2547,0.1074,0.3799,1.8996,0.0496,0.223,0.3469,0,0,0.2065,38.8173,0.0165,0.9911,0.1817,27.4,29,1.579398364,0.033004405,1.508286973,0.038106986,39725000,%
Ireland,0.7787,28.5256,0.3115,0,14.0504,1.4017,3.2849,0.8543,13.5407,9.6847,0.3021,0.5569,0.7363,0.0991,1.364,0.59,0,0.0047,0.3351,21.4791,0.0425,1.9681,0.0897,26.9,<2.5,4.048530881,0.073435938,0.4669998,3.508095143,5003000,%
Israel,0.11,29.564,0.0204,0.0041,12.7832,1.2755,2.6773,0.8476,16.5363,8.3374,0.7131,1.5444,1.4792,0.0652,0.6846,0.4931,0,0.0041,0.5134,20.436,0.0326,1.7889,0.0896,26.7,<2.5,7.439051649,0.055023872,6.609635417,0.774392361,9216000,%
Italy,0.1827,26.7179,0.1405,0,16.4832,1.7191,3.7754,0.8853,12.5299,8.0191,0.5293,0.178,1.4848,0.0141,0.7167,0.5996,0,0,0.5855,23.2845,0.0141,1.9907,0.1499,22.9,<2.5,4.353685153,0.150927093,3.494528659,0.708229402,60296000,%
Jamaica,0.103,24.6534,0.048,0.0137,16.5134,0.3912,4.8593,1.0913,12.6081,5.7515,0.9883,0.9266,1.2286,1.1187,1.9149,0.3226,0,0,0.0412,25.3466,0.0343,1.6747,0.3706,24.4,8,0.599537202,0.012709149,0.435208259,0.151619794,2809000,%
Japan,0.2541,27.7588,0.0058,0.0635,12.4213,3.5687,9.5744,0.3292,9.8112,4.1058,0.6294,4.9835,0.4966,0.1848,0.5139,0.6699,0.052,0.0462,0.2079,22.2383,0.0289,1.9923,0.0635,4.4,<2.5,0.320820532,0.005059262,0.284769821,0.03099145,125967000,%
Jordan,0.0072,17.4589,0.0289,0,24.224,0.7235,1.1287,0.615,10.361,4.7826,0.4414,1.0636,2.735,0.0941,0.4992,0.6295,0,0,0.4052,32.5447,0.0145,2.0838,0.1592,33.4,12.2,3.126275869,0.04091207,2.991759528,0.09360427,10679000,%
Kazakhstan,0.2369,28.9452,0.2053,0,14.0383,1.3317,0.658,0.5211,12.4803,12.8645,1.4107,0.4264,0.1579,0.0316,2.3739,0.4422,0,0,0.3211,21.0496,0.0316,2.3213,0.1526,21.3,<2.5,1.299402093,0.016650651,1.137764254,0.144987188,18732000,%
Kenya,0.1724,12.6375,0.0411,0,24.2979,0.312,0.9115,0.6241,5.1897,5.4114,0.7719,0.4434,8.0145,0.0411,2.0939,0.4681,0,0,0.1314,37.3542,0.0411,1.0347,0.0082,6,29.4,0.18997534,0.00331789,0.157491406,0.029166044,53528000,%
Kiribati,0.0338,24.9594,0.0473,0,15.368,0.4058,16.1052,0.9131,7.6502,0.602,0.1488,4.1328,0.0203,0.0203,2.6583,0.0676,0,0,0.3179,25.0338,0,1.3731,0.142,45.6,2.7,NA,NA,NA,NA,125000,%
"Korea, North",0.0287,10.0832,0,0,23.907,1.3872,2.9561,0.6218,5.099,0.3348,0.3061,1.8464,6.2757,0,2.4873,0.0287,0,0,0.0574,39.912,0,4.6398,0.0287,7.1,47.8,NA,NA,NA,NA,25779000,%
"Korea, South",1.0359,25.3298,0.1804,1.0719,14.4764,1.6698,8.3539,0.4741,11.4255,1.644,0.9843,2.9221,0.3504,0.0618,0.3556,0.2268,0,0.0618,0.3762,24.6702,0,4.329,0,4.9,<2.5,0.156227188,0.00284081,0.136855217,0.01653116,51781000,%
Kuwait,0,23.7566,0.025,0,17.5357,2.6897,1.6178,0.9166,12.2114,6.6516,0.556,0.4758,1.8382,0.4057,0.9416,0.6211,0,0,0.4107,26.2459,0.005,2.7047,0.3907,37,2.8,3.624728203,0.020549989,3.434086549,0.170091665,4691000,%
Kyrgyzstan,0.0469,20.2308,0.0996,0,21.0511,0.7441,0.1992,0.2344,6.7378,11.3136,1.1425,0.041,1.992,0.0586,2.408,0.3515,0,0,0.3222,29.7633,0.0059,3.158,0.0996,15.4,7.1,1.28892933,0.021580224,1.236609039,0.030740067,6594000,%
Lao People's Democratic Republic,0.0541,12.0786,0.1082,0,25.5153,0.3365,4.531,1.971,5.9912,0.2644,0.8473,1.8629,0.9555,0.4086,0.5408,1.941,0.0541,0,0.012,37.9184,0.006,4.4408,0.1622,4.5,16.5,0.000621375,0,0.000566142,5.52E-05,7242000,%
Latvia,0.6062,28.578,0.7346,0,14.2299,1.8802,3.9608,0.4623,10.7367,10.449,0.8168,0.3493,0.0205,0.036,2.7689,0.6627,0,0.0051,0.3134,21.4168,0.0257,1.8031,0.1438,25.7,<2.5,3.749737119,0.069768665,3.122975815,0.556992639,1902000,%
Lebanon,0.0517,15.0004,0.0443,0,23.269,0.4581,1.6922,1.2266,6.9608,5.4607,0.3769,1.2636,2.8671,0.0961,0.9754,0.7389,0,0,1.2414,35.0107,0.0148,2.9705,0.2808,31.3,11,4.656937729,0.052190476,2.947062271,1.657684982,6825000,%
Lesotho,0.2653,9.5357,0.0078,0,32.4932,0.2107,0.4292,0.1795,5.9227,1.7948,1.1705,0.3043,4.1826,0.2107,1.9586,0.0624,0,0,0.0078,40.4682,0,0.7101,0.0858,13.5,13.1,0.437908497,0.008543417,0.126330532,0.303034547,2142000,%
Liberia,0.0752,12.2556,0.0251,0,28.6591,0.4386,2.0677,1.2406,8.3208,0.3258,1.0902,1.6416,0.5639,0,3.8722,0.0501,0.0627,0,0.1504,37.7318,0.0125,1.2406,0.1754,8.6,37.2,0.038671412,0.001660735,0.034994069,0.002016607,5058000,%
Lithuania,0.5273,30.7649,0.2077,0,12.858,1.7655,3.9345,0.3915,11.2483,13.0577,0.5512,0.3435,2.2808,0.1758,0.8588,0.4194,0,0.004,0.2317,19.2371,0.02,1.0785,0.0439,28.4,<2.5,6.667072298,0.1047602,4.939620616,1.622691482,2794000,%
Luxembourg,0.594,31.7713,0.2452,0.0047,10.4804,2.3148,3.9602,0.7732,14.1577,10.6124,0.4762,0.3253,0.2357,0.165,0.8486,2.5364,0,0.0047,0.0471,18.2264,0.0189,1.8717,0.33,24.2,<2.5,8.150632911,0.09335443,7.661550633,0.395727848,632000,%
Madagascar,0.0931,10.7114,0.0349,0,31.1678,0.2212,1.7813,0.8849,5.3906,2.3169,0.978,0.1746,2.1423,0.1281,3.4696,0.3842,0.0466,0,0.0466,39.2828,0,0.7219,0.0233,4.5,44.4,0.068849085,0.00101477,0.065779495,0.002054819,27691000,%
Malawi,0.1544,8.4246,0.0956,0,23.98,0.2352,2.0731,1.4335,4.9548,0.2646,0.8013,3.2713,6.6676,0.0441,4.7048,0.0809,0,0,0.0368,41.5717,0,1.1836,0.0221,4.7,17.5,0.140486147,0.004375327,0.059320439,0.076790382,19130000,%
Malaysia,0.0824,27.3712,0.0634,0.0127,16.6065,3.5735,10.562,0.4055,11.3603,1.527,0.2724,0.6273,1.0518,0.9314,0.3738,0.1901,0,0,0.1457,22.6256,0.0063,1.7741,0.4372,15.3,2.5,0.728229767,0.002614319,0.57036088,0.155254568,32781000,%
Maldives,0.0367,30.0398,0.0612,0,13.4537,2.1107,18.0789,0.6363,4.9373,4.8394,0.0061,0.3793,0.312,0.6608,0.4283,0.52,0.0245,0.0061,1.0523,19.9633,0.0061,1.762,0.6852,7.9,10.3,3.078743068,0.009981516,2.690573013,0.37818854,541000,%
Mali,0.2414,13.6564,0.0177,0,27.6544,0.1178,1.325,0.4534,5.6063,5.6769,0.9069,1.2131,3.5923,0.1354,0.7479,0.1237,0,0.0059,0.3651,36.3465,0,1.7667,0.0471,7.1,6.3,0.040294306,0.001669053,0.02989482,0.008730433,20251000,%
Malta,0.2579,28.7765,0.0688,0,13.735,1.6073,3.6271,0.5845,13.9886,9.1968,0.2836,0.5802,1.0314,0.0774,0.7005,0.6188,0,0,0.3696,21.2257,0.0215,3.1501,0.0988,31,<2.5,3.55862069,0.053448276,3.045210728,0.459961686,522000,%
Mauritania,0,18.4403,0.0188,0,25.3429,0.451,1.6348,0.2318,7.2346,7.9737,1.1275,0.3257,3.8334,0.0125,0.238,0.5951,0,0,0,31.5565,0.0063,0.8331,0.1441,11.3,10.4,0.36111828,0.009139785,0.343763441,0.008215054,4650000,%
Mauritius,0.2315,21.8521,0.0508,0.0056,20.5138,1.0277,4.122,0.3614,10.5364,5.7538,0.3444,0.7849,3.2693,0.367,0.4404,0.3783,0,0,0.1016,28.1536,0.0169,1.3326,0.3557,11.5,6.5,0.046166008,0.000790514,0.042687747,0.002687747,1265000,%
Mexico,0.2784,23.4422,0.0107,0.0161,19.3737,2.8587,2.3287,0.9047,11.1188,5.6906,1.4186,0.6906,3.1103,0.3533,0.3051,0.0803,0,0.0428,0.1445,26.5578,0.0214,1.2473,0.0054,28.4,3.6,1.507199199,0.129731126,1.159804996,0.217663078,127792000,%
Mongolia,0.2367,34.0697,0.1092,0,13.0902,0.7768,0.1032,0.085,19.8082,9.7706,3.5016,0.091,0.1456,0.0061,0.8011,0.4005,0,0,0.0243,15.9303,0.0182,0.8618,0.1699,19.6,13.4,0.06019042,5.95E-05,0.043112169,0.017018744,3361000,%
Montenegro,0.1588,30.3005,0.0882,0,13.7184,1.5576,1.6591,0.9134,11.5386,14.9495,0.5074,0.3221,1.2399,0.0529,0.5074,0.8207,0,0.0044,0.2647,19.6973,0.0176,1.3502,0.3309,24.9,<2.5,10.40819936,0.134405145,9.039871383,1.23392283,622000,%
Morocco,0.0204,13.9914,0.0255,0,29.9052,0.9892,3.248,0.8464,6.5725,2.5342,0.6272,0.0816,1.5552,0.3161,0.9994,0.3518,0,0,0.4844,36.0086,0.0051,1.4175,0.0204,25.6,3.4,1.321111482,0.023311638,1.2625751,0.035224744,35952000,%
Mozambique,0.1562,8.7767,0,0,24.9634,0.5467,3.251,0.576,3.0265,1.562,0.4003,0.6248,7.654,0.0098,5.7796,0.2831,0,0,0.2343,41.2184,0,0.8591,0.0781,6,27.9,0.141538856,0.00144709,0.085959058,0.054132709,31166000,%
Myanmar,0.0161,23.9286,0.0911,0,16.0006,0.8517,8.7797,0.4018,10.2743,3.2248,0.6964,1.6285,4.5961,0.4339,0.2786,0.3107,0,0.2625,0.2464,26.0767,0,1.8213,0.0804,5.7,10.6,NA,NA,NA,NA,54704000,%
Namibia,0.386,18.3127,0.0483,0.008,19.5191,0.3217,2.7586,0.4343,9.6107,4.6244,0.941,0.4745,4.1338,0.3458,5.0828,0.2493,0,0,0.0402,31.6873,0.0241,0.764,0.2332,15,27.3,1.371271153,0.014600551,1.312829595,0.043841007,2541000,%
Nepal,0.0407,8.5877,0.0271,0,28.0559,0.3934,0.5698,0.6105,3.1407,3.7648,0.6919,0.1628,5.0943,1.1328,2.4556,0.1018,0.0814,0.0068,0.156,41.4055,0.0068,3.4866,0.0271,3.8,8.7,0.906140819,0.006784238,0.89282571,0.006530871,29996000,%
Netherlands,0.3823,32.7073,0.0573,0.0048,10.9008,2.1075,3.264,0.9319,13.3333,13.7921,0.1481,0.1864,0.4731,0.1625,1.6487,0.3393,0,0.0048,0.5926,17.2903,0.043,1.6296,0,23.1,<2.5,5.815291693,0.08283048,0.076063434,5.656397779,17467000,%
New Caledonia,0.3262,29.179,0.1873,0.0181,13.6531,1.6915,3.9207,0.6585,15.3749,7.2857,0.7008,1.2143,0.5739,0.0967,0.7431,0.4591,0,0,0.1087,20.824,0.0362,1.764,1.1841,NA,7.1,NA,NA,NA,NA,295000,%
New Zealand,0.3023,28.5384,0.1539,0.0165,14.1043,1.6765,3.6498,0.6651,18.0949,4.4303,0.5222,1.2917,1.1983,0.1154,1.1763,0.3463,0.0055,0.0055,0.5497,21.4533,0.011,1.693,0,32,<2.5,0.046520954,0.000501303,0.04469621,0.001323441,4987000,%
Nicaragua,0.0907,16.6679,0.0302,0,23.8869,1.1188,1.217,0.4158,7.5894,5.9264,0.7786,0.9902,6.1607,0.0076,0.4611,0.0832,0,0,0.0076,33.3359,0.0076,0.8542,0.3704,21.8,17,0.095497271,0.00257732,0.064053972,0.028865979,6596000,%
Niger,0.0061,7.6195,0.0244,0,22.2968,0.0427,0.3602,0.2686,3.1321,3.474,0.5922,4.1028,13.1876,0.1587,0.2625,0.0549,0,0,0,42.3774,0,2.0209,0.0183,4.7,16.5,0.01900864,0.000682128,0.016329737,0.001996775,24189000,%
Nigeria,0.456,6.3757,0.0089,0,24.4299,0.6349,2.3786,0.7154,2.4323,0.5991,0.3219,3.0135,5.723,0.5097,5.9734,0.0179,0,0,0.2236,43.6287,0,2.5306,0.0268,7.8,13.4,0.067547298,0.000798972,0.054602212,0.012146114,206140000,%
North Macedonia,0.2603,20.409,0.0558,0,17.4032,1.0226,0.9854,0.9173,8.3173,9.0796,0.9482,1.159,1.8903,0.4648,1.6362,0.9049,0,0,0.3967,29.5941,0.0248,4.3694,0.1611,23.9,3.2,4.548028846,0.140192308,4.025721154,0.382115385,2080000,%
Norway,0.3223,29.2815,0.3132,0,11.9831,1.6431,6.7042,0.6763,10.4943,9.7681,0.3586,1.1075,1.6704,0.0545,1.044,1.0894,0,0,0.3677,20.7208,0.1135,1.1983,1.0894,25,<2.5,1.200167069,0.010803787,0.334100613,0.855262669,5387000,%
Oman,0.0294,24.7856,0.0294,0,16.4454,1.4155,4.5695,2.4257,9.462,8.6221,0.6872,0.2819,1.439,0.5697,0.6402,0.3759,0,0,0.1762,25.2203,0.0059,2.6724,0.1468,22.9,6.8,2.865287503,0.032505835,2.700318269,0.132463399,4713000,%
Pakistan,0,21.0264,0.0604,0,20.8679,0.7472,0.4151,0.2868,4.483,14.6868,0.634,2.3547,2.9509,0.4075,0.566,0.3019,0.0377,0.0226,0.1057,28.9736,0.1132,0.9358,0.0226,7.8,20.3,0.250961347,0.005416403,0.230941432,0.014603512,220940000,%
Panama,0.4278,26.5459,0.1006,0.0063,16.5629,1.0316,3.1075,0.9058,13.7447,7.3725,1.1889,1.3776,2.0759,0.0315,0.4466,0.3208,0,0.0126,0.1258,23.4447,0.0315,0.6605,0.4781,22.5,10,7.622320803,0.127363997,6.773850105,0.721106701,4283000,%
Paraguay,0.4165,23.353,0.1458,0,15.4044,2.2839,0.8678,0.6178,13.2107,4.665,2.1798,1.201,3.5196,0.0347,1.8813,2.5824,0,0,0.0069,26.6435,0.0069,0.8469,0.1319,19,10.7,1.896664369,0.038690558,1.562591316,0.295382495,7255000,%
Peru,0.2423,18.8205,0.0064,0,18.8078,1.5493,4.6541,0.7013,7.6251,3.4173,1.5684,1.7469,3.685,0.0446,3.634,0.5802,0,0,0.0446,31.1763,0.0128,1.6066,0.0765,19.1,9.7,3.573741774,0.127751036,3.310513649,0.13547709,32824000,%
Philippines,0.1914,20.5089,0.3191,0,23.277,1.0211,6.6369,1.2763,9.6682,1.6273,1.2444,0.694,0.6063,0.0798,0.6142,0.4068,0,0.0319,0.2632,29.4911,0,1.9863,0.0558,6,13.3,0.488698771,0.010138619,0.44575702,0.032803132,109581000,%
Poland,0.7325,26.8833,0.5045,0,16.5268,1.0235,2.6777,0.4657,15.7313,6.8785,0.0728,0.2619,0.5918,0.0534,2.1635,0.3056,0,0,0.1601,23.1142,0.0631,1.79,0,25.6,<2.5,4.02817452,0.101631568,3.392334758,0.534208194,38368000,%
Portugal,0.2926,31.7568,0.3581,0,11.8389,1.166,6.7383,0.8385,14.695,7.8606,0.9389,0.1528,0.8472,0.0437,1.2402,0.6201,0,0.0044,0.3275,18.241,0.0393,1.9564,0.0437,23.2,<2.5,7.429605071,0.13607021,5.84683569,1.446699171,10255000,%
